,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,antal_apo,Kommune_y,Kode,Befolkning,År
52,,,40.67,0.1866566051,0.2013494318,194877.94025,0.49959918049999996,0.7650138142,0.8129954573999999,2,Glostrup,161,22461,2016
54,,,40.56,0.18591142719999998,0.2219601493,188718.44699,0.48366727810000004,0.7571445581999999,0.8189643007999999,1,Herlev,163,28423,2016
55,,,38.99,0.1763335245,0.222289934,166108.63889,0.4555547571,0.6997969179000001,0.7202860017,1,Albertslund,165,27880,2016
56,19489347.75,6851413.2225,39.48,0.1706630919,0.2179027264,189002.9872,0.4949940383,0.7562884812,0.8110604311,4,Hvidovre,167,52831,2016
60,12553788.8,4432635.71,39.34,0.1708991761,0.22262468649999997,183101.35045,0.485641875,0.7407541458,0.7259084831999999,6,Høje-Taastrup,169,49960,2016
66,19504368.487999998,6725934.9,41.01,0.19480448949999998,0.21518826940000002,255034.40366999997,0.4973515117,0.7735335929,0.86200557,4,Lyngby-Taarbæk,173,55097,2016
70,19346038.4,6850458.08,40.5,0.1832848384,0.21118674010000002,188470.19429,0.4893223605,0.7581137429000001,0.8153028804000001,3,Rødovre,175,38002,2016
73,,,38.05,0.1568731018,0.22703464059999998,164768.39234000002,0.46370540450000003,0.7041708470999999,0.6174938184000001,1,Ishøj,183,22358,2016
74,23064292.2,8047009.62,40.84,0.1851894908,0.2191118345,196500.12905999998,0.5019579507,0.7864571116,0.8725467344,3,Tårnby,185,42860,2016
77,,,39.36,0.1868831582,0.2392868513,206702.68964,0.502521223,0.8051601423,0.7689410864,1,Vallensbæk,187,15419,2016
78,,,41.51,0.2082091941,0.23731317559999998,241886.87618000002,0.4887400193,0.797902254,0.8573900576000001,2,Furesø,190,40156,2016
80,,,41.51,0.203111218,0.24288348969999998,245263.33041999998,0.5129708457,0.8374384236,0.9120150992,1,Allerød,201,24732,2016
81,16268914.5,5705725.89,42.58,0.2178056488,0.2195338732,219414.30737,0.4846250897,0.7660276141,0.8319768448999999,4,Fredensborg,210,40112,2016
85,18319881.225,6354792.29,43.42,0.22859247629999999,0.2011914866,197427.87185999998,0.47943116700000005,0.7528077237,0.8699260068000001,6,Helsingør,217,62092,2016
91,22677922.45,7872355.3,40.53,0.1847971422,0.2262667385,216789.7286,0.5157633793999999,0.7957438143000001,0.8809300094,3,Hillerød,219,49672,2016
94,13841952.8,4795161.14,45.18,0.2708491812,0.21039356210000001,288623.9195,0.4735742972,0.7868433287000001,0.8895582329,3,Hørsholm,223,24965,2016
97,29108324.9,9960367.37,42.73,0.2255535959,0.2302567117,297586.52562,0.48424816740000004,0.7898717527,0.8812622922,3,Rudersdal,230,55739,2016
100,,,40.28,0.1842997075,0.2430945639,225924.74646,0.5210003951,0.8325422904,0.9121865049,2,Egedal,240,42773,2016
102,26455310.6,9092058.98,43.18,0.2244648725,0.2080113687,196074.20375,0.4951184254,0.7861871744,0.923518292,3,Frederikssund,250,44725,2016
105,20483971.8,7106100.195,41.57,0.2072073877,0.22227118850000002,207509.03152000002,0.49686809880000005,0.7947933156999999,0.8553904837999999,4,Greve,253,49518,2016
109,24188249.213000003,8443322.01,41.01,0.1949292119,0.217122228,193915.5547,0.4942007732,0.7686903312000001,0.8850153313,4,Køge,259,59868,2016
113,,,44.62,0.245009948,0.1866696618,177716.02403,0.47202392439999996,0.749688738,0.8967457714,2,Halsnæs,260,31049,2016
