,Kommune,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,yderkom,antal_apo,År
89,269,,,38.93,0.138842019,0.2544472834,202242.03227999998,0.5483512770000001,0.8317162399,0.9434171776000001,20743,0,2,2009
91,270,,,41.67,0.17813276879999998,0.2273365004,172876.9017,0.5200197360000001,0.7923612839,0.9504625631999999,40627,0,2,2009
93,306,,,44.11,0.21466268579999997,0.1981362526,138718.75337,0.46587546049999995,0.7169074179,0.9579633992000001,33159,0,2,2009
95,316,47984108.1,15439181.73,39.41,0.1506874928,0.2364515016,165097.63838,0.5195061515,0.7801709964,0.9280548593000001,69528,0,3,2009
98,320,22254821.5,7200574.75,40.43,0.1620157445,0.23187833300000002,165589.68874,0.5208951428,0.7907117570000001,0.961459128,35441,0,3,2009
101,326,34838524.1,11212025.4,40.95,0.1731167447,0.2265334432,151934.36964000002,0.4919260661,0.7543065889,0.9509926308,49741,0,3,2009
104,329,,,38.66,0.1427778805,0.23722335239999998,170817.71417,0.5328020756,0.7961174714,0.9067210279000001,32442,0,1,2009
105,330,36860502.525,12050186.542000001,40.39,0.1697328841,0.2187794518,151654.65185,0.49726408380000003,0.7491173548000001,0.9193971929000001,77457,0,4,2009
109,336,,,41.94,0.1807453982,0.21783306,170686.98893,0.5208323826,0.7915971485,0.9618034956,21948,0,1,2009
110,340,15168559.125,4869570.5175,40.07,0.16145020029999999,0.2381356508,162575.96772000002,0.5113520495,0.7879250834999999,0.9587043709,29458,0,4,2009
114,350,,,39.79,0.1512435581,0.25252072600000003,187556.36233,0.5394225015,0.8310751474,0.9593058049,26778,0,1,2009
115,360,40373891.35,13159015.79,44.47,0.21961178469999998,0.1905061038,126383.41795,0.4365668512,0.6727421303,0.9414108371,47757,0,3,2009
118,370,29851585.29,9642293.214,40.18,0.1628085085,0.2225461373,158722.31749000002,0.5131546382,0.7725196676,0.9390283140000001,80954,0,5,2009
123,376,23043225.375,7448910.12,43.4,0.20632484850000002,0.1956305073,138454.51801,0.47556724549999996,0.7270825609999999,0.9468246926,63211,0,6,2009
129,390,25566005.737,8235862.995,42.94,0.2000816309,0.2091469571,140144.50900999998,0.4699681611,0.7301281118,0.9543929094,46551,0,4,2009
133,400,28365790.3,9437677.07,44.07,0.2090313183,0.2011606325,130495.97609000001,0.4456023147,0.6903176944,0.9613511797,42563,0,3,2009
136,410,,,40.74,0.17310299,0.2360664452,161405.71277,0.5119060303,0.7856820845999999,0.9551992329000001,37625,0,2,2009
138,420,,,40.68,0.171714774,0.2388909989,148804.20832,0.5006776518,0.7735666479000001,0.9648572176000001,42128,0,2,2009
140,430,,,41.67,0.18762953870000001,0.22808397940000003,147680.1066,0.49911555469999996,0.7696230015000001,0.9608152278000001,52108,0,2,2009
142,440,,,41.48,0.187955359,0.22960623289999998,152094.41154,0.49622474369999997,0.7728720323999999,0.9558780106999999,23745,0,2,2009
144,450,,,41.6,0.1868260074,0.2221731727,146932.07318,0.48331175600000004,0.7495193335,0.9417727115000001,31714,0,2,2009
146,461,33262377.968000002,10741985.362,38.53,0.1491946427,0.2078284884,151133.39269,0.4971703799,0.7246856167,0.8704348706999999,187929,0,11,2009
157,479,28990601.961999997,9339628.125,41.05,0.1752302104,0.21588240260000002,148460.24898,0.4861057017,0.7305297681999999,0.9378524376,59185,0,4,2009
161,480,18281078.5,5960225.86,40.67,0.17156251050000002,0.2337526559,148121.21827,0.5077911104,0.7790591978,0.9647456481000001,29651,0,3,2009
164,482,,,47.2,0.25665413260000003,0.17252820170000002,125060.89141,0.44876716369999997,0.6987842731999999,0.9585117378,13563,0,2,2009
166,492,,,48.32,0.27470886829999996,0.1652732159,125351.52884000001,0.4446273571,0.7006675567,0.9543549834999999,6698,0,1,2009
167,510,27964621.312,8962065.0075,40.51,0.1743469951,0.2272244638,151742.64142,0.5098164405,0.7795977607,0.9318435754000001,56508,0,4,2009
171,530,,,39.7,0.16516104439999998,0.24116638079999997,161302.54248,0.5348988163,0.8115839547,0.9417716686,26235,0,1,2009
