,Kommune,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom,antal_apo,År
160,482,49.51,0.312880525,0.1497588361,129106.83929,0.4044525432,0.6512382075,0.9495325622,12647,753650.84048,0,2,2014
162,492,50.37,0.3355640535,0.1461121734,132750.78157999998,0.40341634740000004,0.6661533722999999,0.9446040868000001,6276,662310.43322,0,1,2014
163,510,42.17,0.2072716862,0.2066096479,159684.76879,0.4633442129,0.7185826626999999,0.9139378070999999,55888,1366207.1435,0,4,2014
167,530,41.32,0.1966520829,0.22160928289999998,174867.77492999999,0.4988941428,0.7671385503,0.9116458206,26285,1119391.8078,0,1,2014
168,540,42.88,0.2264835795,0.2054792693,158943.57415,0.43962011770000003,0.7051801270999999,0.8833868379,74937,1142968.5071,0,5,2014
173,550,43.59,0.22386214149999997,0.2021047093,147856.62087,0.46238261049999996,0.719483622,0.9147937111,38010,1567555.6454,0,4,2014
177,561,40.81,0.1864594702,0.2044072553,173282.13537,0.4780112896,0.7185080628,0.9049240122,115446,1112401.8657,0,6,2014
183,563,48.18,0.2994177138,0.1771376034,170482.44249000002,0.4588957055,0.7466275659999999,0.9242331288,3263,952355.75636,0,1,2014
184,573,41.85,0.20286500940000002,0.21872630780000002,168022.62290999998,0.4995302161,0.7675511331999999,0.9243148151999999,50122,1111924.9886,0,3,2014
187,575,41.15,0.19558226329999998,0.22649703059999998,163882.04287,0.4904626385,0.7641624613,0.9201025472,42601,1094177.4629,0,4,2014
191,580,42.59,0.2121248133,0.2104610892,157905.69772999999,0.453623509,0.7140373622,0.8814170736,58904,1026139.0735,0,4,2014
195,607,41.12,0.19583969539999999,0.2122191596,171146.45867,0.45854433520000004,0.7095335502,0.9032270876999999,50429,1169462.7601,0,3,2014
198,615,39.46,0.1719641968,0.21740137329999998,171967.78251,0.4841760767,0.728639015,0.8819037451,86361,1133696.7838,0,6,2014
204,621,39.89,0.1773795625,0.2202238033,178139.94964,0.4898945858,0.7434464819,0.8932722556,90794,1265681.0098,0,4,2014
208,630,40.18,0.1814412832,0.2253623123,181063.14367,0.49066637630000004,0.7540301612,0.8972802265,110471,1248378.9187,0,6,2014
214,657,39.95,0.17893488670000002,0.22277353100000002,168806.84689000002,0.4959206988,0.7515714781999999,0.9091475588,86864,1073626.3759,0,3,2014
217,661,40.48,0.1875326121,0.2203186419,169982.27629,0.49725442340000003,0.7621556393000001,0.9275342108,57494,1072412.3628,0,4,2014
221,665,43.97,0.23139855739999998,0.20143292829999998,165013.68516,0.48615757579999996,0.7628002393000001,0.9460848485,20657,1438286.4049,0,2,2014
223,671,43.25,0.2243574794,0.2087783945,155680.7834,0.45855527520000006,0.7239901072,0.9280441079999999,21439,784916.9690800001,0,1,2014
224,706,43.53,0.228440411,0.2089455488,163959.25329000002,0.46716697939999996,0.7373124118000001,0.9388800693000001,41652,1021838.9411,0,3,2014
227,707,43.47,0.22185867329999998,0.1878990976,155447.15696,0.4640137493,0.7040852893999999,0.9385510312,37898,937829.7400100001,0,2,2014
229,710,39.54,0.17204301079999998,0.2521515898,185027.41118,0.5091602893,0.7978256095,0.9474205722,47523,1864015.1846,0,3,2014
232,727,42.39,0.2090933966,0.21930864649999998,175432.44799000002,0.4800365464,0.7654301246999999,0.9365463681999999,21928,1304052.9949,0,1,2014
233,730,40.9,0.19200413219999998,0.20851239670000002,162723.76908,0.47044878100000004,0.7166180556999999,0.9286816088,96800,1036985.9313,0,3,2014
236,740,40.27,0.180890064,0.23148107,181050.75802,0.49358874469999997,0.7603679658,0.9324703368,90016,1360537.0899,0,4,2014
240,741,49.68,0.3147602465,0.1612643986,138133.45038,0.44121603439999996,0.7260556128,0.9324724240000001,3733,700707.31312,0,1,2014
241,746,39.48,0.16746623119999998,0.2552992413,196303.29580999998,0.5083468326,0.7989255564,0.9445988575,58782,1504411.3722,0,2,2014
243,751,37.09,0.1396522869,0.189430675,177268.27594000002,0.4925919771,0.6880960354000001,0.8467674920999999,326246,1686457.6585,0,11,2014
254,756,40.51,0.1856002759,0.229370905,166036.22922,0.4888850467,0.7516670887000001,0.9093019809,40598,1258432.027,0,3,2014
257,760,41.74,0.20481399670000003,0.22383506890000002,166838.52959000002,0.49420157439999995,0.7651799445999999,0.9243569019,57042,988323.0801299999,0,4,2014
261,766,40.86,0.1865440108,0.23557744460000002,179123.09972,0.5073225849,0.7918373483,0.9431793490000001,46091,1168902.4556,0,3,2014
264,773,44.04,0.2358282091,0.1978766334,147082.15781,0.4566985991,0.7173340134,0.9570596446999999,20816,543243.93766,0,2,2014
266,779,42.51,0.2118736734,0.2068351879,156791.08826,0.47645845859999997,0.739199527,0.9492439212999999,46641,1072101.9138,0,4,2014
270,787,42.73,0.21346249829999997,0.2059984573,154131.258,0.4746953438,0.7275361184,0.9330210986,44078,1066265.8335,0,3,2014
273,791,40.42,0.18348160239999997,0.2250565879,169413.87447,0.488035703,0.744733979,0.9301449642,94985,1127947.2853,0,6,2014
279,810,41.96,0.207903636,0.221849585,160859.85835,0.4618898167,0.7319876234,0.947598498,35781,1230591.2435,0,2,2014
281,813,44.64,0.2411183066,0.1848054723,158595.87504,0.4539752078,0.7164865021,0.9380693981,60377,939781.57614,0,5,2014
286,820,42.33,0.21273296079999998,0.2122516645,154652.82084,0.46911165880000005,0.7315880187999999,0.9291684526,37399,965271.1861899999,0,4,2014
290,840,40.67,0.1848296892,0.2393707336,184339.68627,0.503297924,0.7932738669,0.9561896826999999,28859,1240832.507,0,2,2014
292,846,42.3,0.2027816016,0.20907105899999998,164660.57264,0.4716667063,0.7279084809,0.9391719972,42134,943422.63575,0,3,2014
295,849,42.82,0.2183688925,0.21298931920000003,159204.94617,0.4612065584,0.7270010574,0.9530085509999999,38293,1044479.0219,0,3,2014
298,851,39.25,0.1726811193,0.1861023556,169007.10623,0.4706404578,0.6873250879999999,0.9058757684000001,207805,1199992.1755,0,9,2014
307,860,42.64,0.21306378739999998,0.2039359828,159639.66019,0.46475111659999996,0.7209222752,0.935902749,65295,804865.9483,0,6,2014
0,101,35.38,0.1031360263,0.1751163605,203077.09733,0.5371755014999999,0.714953568,0.7635259743,591481,1768450.9746,0,27,2015
27,147,38.84,0.1660110451,0.17482604489999998,230605.31073000003,0.5240325885,0.7483735449,0.8184354049,104481,2245134.8645,0,5,2015
32,151,41.36,0.20639100859999998,0.21644824149999997,185774.18525,0.4603171304,0.7415835524,0.8532596272,48224,1652916.8616,0,4,2015
36,153,40.83,0.1893437518,0.208397033,162131.77927,0.44509146689999995,0.6877358491,0.689268265,35322,1704673.211,0,3,2015
39,155,43.41,0.23730731160000001,0.2279027012,234501.33211999998,0.4786827195,0.8048748179,0.91898017,14142,2232076.06,0,1,2015
40,157,41.04,0.1927405441,0.2283742535,322673.50025,0.49913363369999997,0.7693973461,0.8465865167000001,75350,2940428.2968,0,4,2015
44,159,39.25,0.1651794917,0.2225167123,201508.69397,0.49523064200000005,0.7535316523000001,0.8101263954000001,67914,1500979.4198,0,3,2015
47,161,40.63,0.18712434890000001,0.2004363118,192028.94851,0.4966541756,0.7599796037000001,0.8233850820999999,22461,1363045.0093,0,1,2015
48,163,40.42,0.18340780350000002,0.22267177989999998,185265.96835,0.48297857340000006,0.7534246575,0.8221031858,28423,1643733.9252,0,1,2015
49,165,38.75,0.1727044476,0.2256456241,163105.33193,0.4542024507,0.6957196585,0.7275503970999999,27880,1235370.7156,0,1,2015
