TOT_P,GRD_ID,CNTR_CODE,METHD_CL,YEAR,DATA_SRC,TOT_P_CON_DT
2422,1kmN3625E4475,DK,A,2011,DK,0
5895,1kmN3625E4476,DK,A,2011,DK,0
4615,1kmN3625E4477,DK,A,2011,DK,0
4253,1kmN3625E4478,DK,A,2011,DK,0
10295,1kmN3625E4479,DK,A,2011,DK,0
12904,1kmN3625E4480,DK,A,2011,DK,0
10571,1kmN3625E4481,DK,A,2011,DK,0
14541,1kmN3625E4482,DK,A,2011,DK,0
18070,1kmN3625E4483,DK,A,2011,DK,0
5258,1kmN3626E4476,DK,A,2011,DK,0
5193,1kmN3626E4477,DK,A,2011,DK,0
709,1kmN3626E4479,DK,A,2011,DK,0
6299,1kmN3626E4480,DK,A,2011,DK,0
4493,1kmN3626E4481,DK,A,2011,DK,0
7606,1kmN3626E4482,DK,A,2011,DK,0
2052,1kmN3626E4483,DK,A,2011,DK,0
3678,1kmN3627E4480,DK,A,2011,DK,0
4040,1kmN3627E4482,DK,A,2011,DK,0
8072,1kmN3621E4478,DK,A,2011,DK,0
4146,1kmN3621E4479,DK,A,2011,DK,0
11315,1kmN3621E4480,DK,A,2011,DK,0
11377,1kmN3622E4478,DK,A,2011,DK,0
12720,1kmN3622E4479,DK,A,2011,DK,0
15916,1kmN3622E4480,DK,A,2011,DK,0
14224,1kmN3622E4481,DK,A,2011,DK,0
6871,1kmN3623E4479,DK,A,2011,DK,0
19724,1kmN3623E4480,DK,A,2011,DK,0
34,1kmN3624E4470,DK,A,2011,DK,0
149,1kmN3625E4468,DK,A,2011,DK,0
2532,1kmN3625E4469,DK,A,2011,DK,0
127,1kmN3625E4470,DK,A,2011,DK,0
2001,1kmN3625E4471,DK,A,2011,DK,0
1590,1kmN3625E4472,DK,A,2011,DK,0
497,1kmN3626E4467,DK,A,2011,DK,0
2197,1kmN3626E4468,DK,A,2011,DK,0
3273,1kmN3626E4469,DK,A,2011,DK,0
421,1kmN3626E4470,DK,A,2011,DK,0
3641,1kmN3626E4471,DK,A,2011,DK,0
3461,1kmN3626E4472,DK,A,2011,DK,0
444,1kmN3627E4467,DK,A,2011,DK,0
3993,1kmN3627E4468,DK,A,2011,DK,0
3437,1kmN3627E4469,DK,A,2011,DK,0
182,1kmN3627E4470,DK,A,2011,DK,0
381,1kmN3627E4471,DK,A,2011,DK,0
2413,1kmN3627E4472,DK,A,2011,DK,0
58,1kmN3628E4467,DK,A,2011,DK,0
1251,1kmN3628E4468,DK,A,2011,DK,0
2690,1kmN3628E4469,DK,A,2011,DK,0
1015,1kmN3628E4470,DK,A,2011,DK,0
47,1kmN3628E4471,DK,A,2011,DK,0
2801,1kmN3629E4466,DK,A,2011,DK,0
2289,1kmN3629E4467,DK,A,2011,DK,0
836,1kmN3629E4468,DK,A,2011,DK,0
622,1kmN3629E4469,DK,A,2011,DK,0
2220,1kmN3629E4470,DK,A,2011,DK,0
1073,1kmN3629E4471,DK,A,2011,DK,0
13,1kmN3630E4464,DK,A,2011,DK,0
8,1kmN3630E4465,DK,A,2011,DK,0
1007,1kmN3630E4466,DK,A,2011,DK,0
2324,1kmN3630E4467,DK,A,2011,DK,0
6,1kmN3630E4469,DK,A,2011,DK,0
374,1kmN3630E4470,DK,A,2011,DK,0
41,1kmN3614E4475,DK,A,2011,DK,0
2951,1kmN3615E4472,DK,A,2011,DK,0
4497,1kmN3615E4473,DK,A,2011,DK,0
2675,1kmN3615E4474,DK,A,2011,DK,0
2270,1kmN3616E4472,DK,A,2011,DK,0
1950,1kmN3616E4473,DK,A,2011,DK,0
155,1kmN3617E4472,DK,A,2011,DK,0
108,1kmN3617E4473,DK,A,2011,DK,0
817,1kmN3618E4471,DK,A,2011,DK,0
2556,1kmN3618E4472,DK,A,2011,DK,0
437,1kmN3618E4473,DK,A,2011,DK,0
168,1kmN3618E4474,DK,A,2011,DK,0
466,1kmN3619E4470,DK,A,2011,DK,0
1254,1kmN3619E4471,DK,A,2011,DK,0
4384,1kmN3619E4472,DK,A,2011,DK,0
804,1kmN3619E4473,DK,A,2011,DK,0
1197,1kmN3619E4474,DK,A,2011,DK,0
1602,1kmN3620E4473,DK,A,2011,DK,0
6082,1kmN3620E4474,DK,A,2011,DK,0
7,1kmN3609E4482,DK,A,2011,DK,0
73,1kmN3609E4483,DK,A,2011,DK,0
21,1kmN3609E4484,DK,A,2011,DK,0
382,1kmN3609E4485,DK,A,2011,DK,0
120,1kmN3609E4486,DK,A,2011,DK,0
43,1kmN3610E4483,DK,A,2011,DK,0
25,1kmN3610E4484,DK,A,2011,DK,0
379,1kmN3610E4485,DK,A,2011,DK,0
848,1kmN3610E4486,DK,A,2011,DK,0
18,1kmN3611E4486,DK,A,2011,DK,0
1499,1kmN3611E4487,DK,A,2011,DK,0
817,1kmN3611E4488,DK,A,2011,DK,0
38,1kmN3612E4486,DK,A,2011,DK,0
1321,1kmN3612E4487,DK,A,2011,DK,0
2558,1kmN3612E4488,DK,A,2011,DK,0
1255,1kmN3612E4489,DK,A,2011,DK,0
53,1kmN3613E4486,DK,A,2011,DK,0
406,1kmN3613E4487,DK,A,2011,DK,0
1558,1kmN3613E4488,DK,A,2011,DK,0
1597,1kmN3613E4489,DK,A,2011,DK,0
9,1kmN3614E4487,DK,A,2011,DK,0
263,1kmN3614E4488,DK,A,2011,DK,0
370,1kmN3614E4489,DK,A,2011,DK,0
4796,1kmN3627E4479,DK,A,2011,DK,0
2283,1kmN3627E4481,DK,A,2011,DK,0
1291,1kmN3627E4483,DK,A,2011,DK,0
4535,1kmN3628E4479,DK,A,2011,DK,0
2997,1kmN3628E4480,DK,A,2011,DK,0
2723,1kmN3628E4481,DK,A,2011,DK,0
4767,1kmN3628E4482,DK,A,2011,DK,0
1527,1kmN3628E4483,DK,A,2011,DK,0
3157,1kmN3629E4479,DK,A,2011,DK,0
3095,1kmN3629E4480,DK,A,2011,DK,0
3093,1kmN3629E4481,DK,A,2011,DK,0
3236,1kmN3629E4482,DK,A,2011,DK,0
1829,1kmN3629E4483,DK,A,2011,DK,0
1492,1kmN3630E4478,DK,A,2011,DK,0
2490,1kmN3630E4479,DK,A,2011,DK,0
2005,1kmN3630E4480,DK,A,2011,DK,0
1912,1kmN3630E4481,DK,A,2011,DK,0
4080,1kmN3630E4482,DK,A,2011,DK,0
802,1kmN3630E4483,DK,A,2011,DK,0
9,1kmN3630E4484,DK,A,2011,DK,0
2756,1kmN3631E4479,DK,A,2011,DK,0
1807,1kmN3631E4480,DK,A,2011,DK,0
2090,1kmN3631E4481,DK,A,2011,DK,0
4625,1kmN3631E4482,DK,A,2011,DK,0
4601,1kmN3631E4483,DK,A,2011,DK,0
734,1kmN3631E4484,DK,A,2011,DK,0
544,1kmN3632E4481,DK,A,2011,DK,0
754,1kmN3632E4482,DK,A,2011,DK,0
2033,1kmN3632E4483,DK,A,2011,DK,0
20,1kmN3632E4484,DK,A,2011,DK,0
620,1kmN3633E4483,DK,A,2011,DK,0
3516,1kmN3626E4475,DK,A,2011,DK,0
1029,1kmN3626E4478,DK,A,2011,DK,0
2335,1kmN3627E4475,DK,A,2011,DK,0
2906,1kmN3627E4476,DK,A,2011,DK,0
4284,1kmN3627E4477,DK,A,2011,DK,0
2863,1kmN3627E4478,DK,A,2011,DK,0
2015,1kmN3628E4475,DK,A,2011,DK,0
