,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,dato,year,dummy,Stdato,Sldato,Styear,Slyear
640,003,Viborg Svane Apotek,6,Lille Sct. Peder Stræde 10-12,8800.0,01-01-1753 00:00,1,1082.0,791.0,1082.0,"Lille Sct. Peder Stræde 10-12, 8800 Denmark",56.4478406,9.4056514,1753-01-01,1753.0,2008.0,1753-01-01,,1753.0,
641,180-A2,Viby Apoteksudsalg,8,Søndergade 8 A,4130.0,,,1085.0,265.0,1085.0,"Søndergade 8 A, 4130 Denmark",55.5499019,12.0259926,,,2008.0,,,,
642,038-1,Videbæk Apotek,7,Bredgade 32,6920.0,01May2009 0:00:00.000,,1082.0,760.0,1082.0,"Bredgade 32, 6920 Denmark",56.091332,8.6306,2009-05-01,2009.0,2009.0,2009-05-01,,2009.0,
643,214,Videbæk Apotek,13,Bredgade 32,6920.0,21Sep1905 0:00:00.000,01May2009 0:00:00.000,1082.0,760.0,1082.0,"Bredgade 32, 6920 Denmark",56.091332,8.6306,1905-09-21,1905.0,2008.0,1905-09-21,2009-05-01,1905.0,2009.0
644,062-A2,Vig Apoteksudsalg,8,Vig Hovedgade 14,4560.0,,,1085.0,306.0,1085.0,"Vig Hovedgade 14, 4560 Denmark",55.851656,11.580184,,,2008.0,,,,
645,246,Vildbjerg Apotek,6,Søndergade 7,7480.0,01Jan1914 0:00:00.000,,1082.0,657.0,1082.0,"Søndergade 7, 7480 Denmark",56.196415,8.766971,1914-01-01,1914.0,2008.0,1914-01-01,,1914.0,
646,213,Vinderup Apotek,6,Søndergade 14,7830.0,01Jan1904 0:00:00.000,01Sep2012 0:00:00.000,1082.0,661.0,1082.0,"Søndergade 14, 7830 Denmark",56.481051,8.778564,1904-01-01,1904.0,2008.0,1904-01-01,2012-09-01,1904.0,2012.0
647,275-1,Vinderup Apotek,7,Søndergade 7,7830.0,01Sep2012 0:00:00.000,,1082.0,661.0,1082.0,"Søndergade 7, 7830 Denmark",56.481101,8.779355,2012-09-01,2012.0,2012.0,2012-09-01,,2012.0,
648,234-1,Vindinggård Apotek,7,Vindinggård Centeret 7B,7100.0,08Dec2017 0:00:00.000,,1083.0,630.0,1083.0,"Vindinggård Centeret 7B, 7100 Denmark",55.7093,9.5357,2017-12-08,2017.0,2017.0,2017-12-08,,2017.0,
649,234-A2,Vindinggård Apoteksudsalg,8,Vindinggårdcentret 7 B,7100.0,01Sep1994 0:00:00.000,08Dec2017 0:00:00.000,1083.0,630.0,1083.0,"Vindinggårdcentret 7 B, 7100 Denmark",55.7093,9.5357,1994-09-01,1994.0,2008.0,1994-09-01,2017-12-08,1994.0,2017.0
650,349,Virum Apotek,13,Frederiksdalsvej 73,2830.0,01Jan1950 0:00:00.000,,1084.0,173.0,1084.0,"Frederiksdalsvej 73, 2830 Denmark",55.795311,12.473014,1950-01-01,1950.0,2008.0,1950-01-01,,1950.0,
651,189-2,Vissenbjerg Apotek,7,Østergade 11,5492.0,18Sep2017 0:00:00.000,,1083.0,420.0,1083.0,"Østergade 11, 5492 Denmark",55.385161,10.13666,2017-09-18,2017.0,2017.0,2017-09-18,,2017.0,
652,106-A1,Vissenbjerg Apoteksudsalg,8,Østergade 11,5492.0,,31Dec2008 0:00:00.000,42.0,491.0,,"Østergade 11, 5492 Denmark",55.385161,10.13666,,,2008.0,,2008-12-31,,2008.0
