VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom
546,017,Roskilde Dom Apotek,6,Algade 51,4000,01-01-1753 00:00,,1085,265,1085,"Algade 51, 4000 Denmark",55.640674,12.089246,1753-01-01,,1753,2025,2008,POINT (12.089246 55.640674),2014,31047882.3,9858654.66,40.52,0.1870486675,0.2137346224,204722.66074,0.4922444073,0.7550498594,0.9031729568,85026,1618662.5114,0
548,170,Roskilde Svane Apotek,6,Skomagergade 19,4000,01-01-1898 00:00,,1085,265,1085,"Skomagergade 19, 4000 Denmark",55.640778,12.077801,1898-01-01,,1898,2025,2008,POINT (12.077801 55.640778),2014,31047882.3,9858654.66,40.52,0.1870486675,0.2137346224,204722.66074,0.4922444073,0.7550498594,0.9031729568,85026,1618662.5114,0
213,370-1,Havdrup Apotek,7,Møllemarken 8,4622,"27Jun2005 0:00:00,000",,1085,269,1085,"Møllemarken 8, 4622 Denmark",55.543764,12.115263,2005-06-27,,2005,2025,2008,POINT (12.115263 55.543764),2014,,,40.60,0.1873608018,0.2365441722,217336.40093,0.5092751871,0.8009203197,0.9278441583,21552,1751470.7746,0
612,014-1,Solrød Apotek,7,Solrød Center 78,2680,01.01.1992,,1085,269,1085,"Solrød Center 78, 2680 Denmark",55.533005,12.21967,1992-01-01,,1992,2025,2008,POINT (12.21967 55.533005),2014,,,40.60,0.1873608018,0.2365441722,217336.40093,0.5092751871,0.8009203197,0.9278441583,21552,1751470.7746,0
167,113,Gilleleje Apotek,6,Vesterbrogade 6 B,3250,01-01-1869 00:00,,1084,270,1084,"Vesterbrogade 6 B, 3250 Denmark",56.1256179,12.3056349,1869-01-01,,1869,2025,2008,POINT (12.3056349 56.1256179),2014,,,44.39,0.2432015665,0.2019826215,185452.29726,0.479999019,0.7663278833,0.9350060089,40855,1144504.386,0
223,191,Helsinge Apotek,6,Østergade 35,3200,"01Jan1901 0:00:00,000",,1084,270,1084,"Østergade 35, 3200 Denmark",56.0261355,12.2163846,1901-01-01,,1901,2025,2008,POINT (12.2163846 56.0261355),2014,,,44.39,0.2432015665,0.2019826215,185452.29726,0.479999019,0.7663278833,0.9350060089,40855,1144504.386,0
47,216,Asnæs Apotek,6,Asnæs Centret 7,4550,"01Jan1905 0:00:00,000",,1085,306,1085,"Asnæs Centret 7, 4550 Denmark",55.811989,11.500561,1905-01-01,,1905,2025,2008,POINT (11.500561 55.811989),2014,,,46.68,0.2782795041,0.1726006429,148273.13697,0.4276162434,0.6848863827,0.9485952644,32665,750520.53942,0
488,062,Nykøbing Apotek,6,Algade 20,4500,01-01-1809 00:00,,1085,306,1085,"Algade 20, 4500 Denmark",55.922181,11.668122,1809-01-01,,1809,2025,2008,POINT (11.668122 55.922181),2014,,,46.68,0.2782795041,0.1726006429,148273.13697,0.4276162434,0.6848863827,0.9485952644,32665,750520.53942,0
248,026,Holbæk Elefant Apote,13,Ahlgade 32,4300,01-01-1753 00:00,,1085,316,1085,"Ahlgade 32, 4300 Denmark",55.71768,11.711049,1753-01-01,,1753,2025,2008,POINT (11.711049 55.71768),2014,32775782.65,10234700.8,41.42,0.1921923662,0.2177011661,177223.62701,0.4786400441,0.7385341395,0.9195664161,69035,1073812.62,0
249,239,Holbæk Løve Apotek,6,Labæk 4-6,4300,"01Jan1913 0:00:00,000",,1085,316,1085,"Labæk 4-6, 4300 Denmark",55.716936,11.7184847,1913-01-01,,1913,2025,2008,POINT (11.7184847 55.716936),2014,32775782.65,10234700.8,41.42,0.1921923662,0.2177011661,177223.62701,0.4786400441,0.7385341395,0.9195664161,69035,1073812.62,0
313,116,Jyderup Apotek,6,Sølystvej 1,4450,01-01-1870 00:00,,1085,316,1085,"Sølystvej 1, 4450 Denmark",55.660084,11.395909,1870-01-01,,1870,2025,2008,POINT (11.395909 55.660084),2014,32775782.65,10234700.8,41.42,0.1921923662,0.2177011661,177223.62701,0.4786400441,0.7385341395,0.9195664161,69035,1073812.62,0
129,206,Fakse Apotek,6,Rønnedevej 15,4640,01-01-1892 00:00,,1085,320,1085,"Rønnedevej 15, 4640 Denmark",55.255616,12.116181,1892-01-01,,1892,2025,2008,POINT (12.116181 55.255616),2014,15298649.4,4681840.08,42.62,0.2056826254,0.2086375906,174346.83956,0.4821697925,0.7488216143,0.9436776048,35195,1128265.8113,0
